# Log[bin cenre], Log[reads per kbp], standard error (log), bin centre, reads per kbp
6.12468 13.8755 0.586377 457 1.0618e+06 
6.37332 13.7444 0.154574 586 931324 
6.62407 12.1015 0.41814 753 180140 
6.8742 11.1526 0.449761 967 69743.9 
7.12448 10.9726 0.410569 1242 58258.6 
7.37463 8.70747 0.140694 1595 6047.91 
7.62462 8.3056 0.0582664 2048 4046.47 
7.87474 7.90682 0.0474413 2630 2715.75 
8.12474 7.57865 0.0456744 3377 1955.99 
8.37494 7.02901 0.0434399 4337 1128.92 
8.62497 6.59634 0.0389524 5569 732.411 
8.87487 6.18362 0.0373857 7150 484.746 
9.12489 5.70873 0.0309915 9181 301.488 
9.37492 5.22134 0.030501 11789 185.181 
9.62496 4.78177 0.0272431 15138 119.315 
9.87499 4.39349 0.0264044 19438 80.9224 
10.125 3.97598 0.0238968 24959 53.3026 
10.375 3.58856 0.0215275 32048 36.1819 
10.625 3.27154 0.0212264 41150 26.3519 
10.875 2.9075 0.019231 52838 18.311 
11.125 2.56155 0.0171287 67846 12.9559 
11.375 2.23535 0.016846 87116 9.3498 
11.625 1.95172 0.0159955 111859 7.04076 
11.875 1.63816 0.0136991 143630 5.14569 
12.125 1.3336 0.0130362 184425 3.79469 
12.375 1.03401 0.0119729 236806 2.81233 
12.625 0.76831 0.0108544 304065 2.15612 
12.875 0.455057 0.0106399 390428 1.57626 
13.125 0.107452 0.00929171 501320 1.11344 
13.375 -0.18655 0.00931076 643707 0.829817 
13.625 -0.547898 0.00884026 826537 0.578164 
13.875 -0.881201 0.00887995 1.06129e+06 0.414285 
14.125 -1.17511 0.00864159 1.36273e+06 0.308785 
14.375 -1.49521 0.00920992 1.74978e+06 0.224202 
14.625 -1.80356 0.00964477 2.24676e+06 0.164712 
14.875 -2.09203 0.00914076 2.8849e+06 0.123436 
15.125 -2.3776 0.00912922 3.70428e+06 0.0927733 
15.375 -2.63894 0.0097759 4.75639e+06 0.0714368 
15.625 -2.95765 0.0111807 6.10733e+06 0.051941 
15.875 -3.2134 0.0151501 7.84196e+06 0.0402197 
16.125 -3.44521 0.0211725 1.00693e+07 0.0318981 
16.375 -3.68143 0.0332492 1.29292e+07 0.0251869 
16.625 -3.97781 0.0428987 1.66014e+07 0.0187267 
16.875 -4.15587 0.0450266 2.13167e+07 0.0156721 
17.125 -4.48357 0.0413541 2.73711e+07 0.011293 
17.375 -4.6343 0.0552418 3.51452e+07 0.00971288 
17.625 -4.91955 0.118472 4.51274e+07 0.00730244 
